Country Name,Languages,Name in Original language,Population,Pop. Rank,Pop Rank Stars,Pop Growth,Pop. Growth Rank,Pop Growh Rank Stars,GDP (Million US$),GDP Rank,GDP Rank Stars,GDP per capita (USD),GDP per capita Rank,GDP per capita Rank Stars,Continent,Capital,Government,"Area, Sq km2",Area Rank,Area Rank Stars,Currency,Gini Index,Gini Rank,Gini Index Rank Stars,Climate,EU?,Schengen?,WPFI,WPFI Rank,WPFI Rank Stars,HDI,HDI Rank,HDI Rank Stars,General info,Iso Code,Len(info),Len(name),Non-Independent,Chinese
Croatia,Croatian,Hrvatska,"4,008,617",128,2,-0.54%,188,1,"68,955",76,2,"17,202",51,3,Europe,Zagreb,Republic,56594,124,2,European euro,28.9,24,5,Mediterranean and Continental; seasonal,Yes,No,71.95,41,3,0.858,39,5,"Croatia, the birthplace of the necktie and the Dalmatian dog breed, boasts a stunning Adriatic coastline with over a thousand islands. Its rich history is visible in sites like Dubrovnik's old town, famously a set for 'Game of Thrones.' The country endured a brutal War of Independence in the 1990s after breaking from Yugoslavia, with scars still visible. Inventor Nikola Tesla was born here. Today, it's a major tourist hub, but struggles with corruption and the economic pressures of seasonal tourism.",HR,504,7,No,克罗地亚
Cuba,Spanish,Cuba,"11,194,449",84,2,-0.16%,175,1,"126,694",59,2,"11,318",66,3,North America,Havana,Republic,109884,104,3,Cuban peso,46,157,2,Tropical; moderated by trade winds,,,29,167,1,0.764,82,4,"Cuba, the Caribbean's largest island, was a central stage for the Cold War, culminating in the 1962 Missile Crisis that pushed the world to the brink of nuclear war. Decades of US sanctions have frozen its automotive scene in the 1950s, making classic American cars a common sight. The state-controlled economy has led to high literacy and healthcare standards, but also to limited political freedoms and shortages of goods. Its revolutionary history is embodied by figures like Fidel Castro and Che Guevara.",CU,508,4,No,古巴
Cyprus,"Greek, Turkish",Κύπρος Kıbrıs,"1,260,138",155,1,0.69%,119,2,"28,408",103,1,"22,544",43,4,Asia,Nicosia,Republic,9251,162,1,European euro,29.4,29,5,"Mediterranean; hot summers, mild winters",Yes,No,68.62,54,3,0.896,28,5,"An island of ancient myths, Cyprus's modern history is one of deep division. After independence from Britain in 1960, a power-sharing government between Greek and Turkish Cypriots collapsed into conflict. A 1974 coup aimed at union with Greece triggered a Turkish invasion, splitting the island. A UN 'Green Line' now separates the internationally recognized Republic of Cyprus in the south from the self-declared Turkish Republic of Northern Cyprus, recognized only by Turkey. This schism has created a stark political and economic divide on this historic Mediterranean island.",CY,578,6,No,塞浦路斯
Czech Republic,Czech,Česko,"10,495,295",88,2,0.01%,163,2,"281,778",46,3,"26,848",38,4,Europe,Prague,Republic,78871,115,2,Czech koruna,24.1,4,5,"Temperate; variable, seasonal",,,83.58,14,4,0.889,31,5,"At the heart of Central Europe, the Czech Republic's history is a tale of kingdoms and empires. Once the Kingdom of Bohemia, it endured Habsburg and Soviet domination. The 1968 'Prague Spring' reform movement was crushed by Soviet tanks, but the 1989 'Velvet Revolution' peacefully ended communist rule. Prague, the 'City of a Hundred Spires,' boasts the world's largest castle. The Czechs are famously the world's biggest beer drinkers and gave us the word 'robot'. It's now a prosperous nation, but still grapples with its post-communist political landscape.",CZ,560,14,No,捷克
Democratic Republic of the Congo,"French, Lingala, Swahili","République démocratique du Congo, Republíki ya Kongó","102,262,809",15,5,3.29%,4,5,"52,850",87,2,517,185,1,Africa,Kinshasa,Republic,2344858,11,5,Congolese franc,42.1,135,3,"Equatorial; hot, humid, rainy",,,48.55,120,2,0.479,178,1,"Africa's second-largest country, the DRC is a land of paradox. Its soil is rich with ""conflict minerals"" like coltan, crucial for electronics, and its rainforest, home to endangered gorillas, is vast. The Congo River holds immense hydroelectric potential. However, a brutal colonial past and decades of corrupt rule have fueled the deadliest conflict since World War II. This history of exploitation and warfare overshadows the vibrant culture that produced soukous music, leaving a nation of over 200 ethnic groups in deep poverty and instability, a stark contrast to its vast resource wealth.",CD,594,32,No,刚果民主共和国
Denmark,Danish,Danmark,"5,910,913",113,2,0.49%,140,2,"398,303",36,3,"67,384",9,5,Europe,Copenhagen,Constitutional monarchy,43094,130,2,Danish krone,27,18,5,"Temperate; mild winters, cool summers",Yes,Yes,89.48,3,5,0.948,5,5,"Home to Europe's oldest monarchy and the world's oldest continuously used flag, Denmark is a nation steeped in history yet progressive in spirit. It was the first country to legalize same-sex unions. Consistently ranked among the world's happiest, Danes cherish ""hygge"" (cozy contentment) and a strong cycling culture on their famously flat landscape. This is the land that gave the world LEGO and the two oldest amusement parks. While its welfare state is funded by high taxes, the emphasis on equality is strong, though the reserved nature of its people can be a challenge for outsiders.",DK,589,7,No,丹麦
Djibouti,"Arabic, French",جيبوتي Djibouti,"1,136,455",157,1,1.39%,74,3,"3,701",162,1,"3,257",132,2,Africa,Djibouti (city),Republic,23200,146,2,Djiboutian franc,41.6,132,3,"Desert; hot, arid",,,35.87,157,1,0.509,170,2,"Djibouti is a geopolitical hotspot on the Horn of Africa, where world powers like the US and China have established key military bases. This small, arid nation sits on a tectonic triple junction, a volatile meeting point of three of Earth's plates. Its landscape is otherworldly, featuring the salt-crusted shores of Lake Assal, Africa's lowest point, and the limestone chimneys of Lake Abbé. For the local Afar and Somali people, chewing the stimulant khat is a daily ritual in one of the hottest, driest places on Earth, a stark contrast to its strategic coolness.",DJ,566,8,No,吉布提
Dominica,English,"Wai‘tu kubul, Dominique, Dominik","73,040",186,1,0.42%,143,2,548,187,1,"7,503",83,2,North America,Roseau,Republic,751,174,1,East Caribbean dollar,44,146,2,"Tropical; hot, heavy rainfall",,,-,-,0,0.72,102,4,"Not to be confused with the Dominican Republic, Dominica is the Caribbean's 'Nature Isle.' It has 9 active volcanoes, 365 rivers, black sand beaches, and the world's second-largest boiling lake. It's the only place on Earth where sperm whales reside year-round and is home to the last Kalinago, the indigenous Carib people. Its flag is one of two in the world with purple. This stunning backdrop, seen in the franchise ""Pirates of the Caribbean"", is vulnerable to hurricanes, pushing Dominica to become the world's first climate-resilient nation.",DM,546,8,No,多米尼克
Dominican Republic,Spanish,República Dominicana,"11,332,973",83,2,0.93%,95,2,"94,243",65,2,"8,316",80,2,North America,Santo Domingo,Republic,48671,128,2,Dominican peso,39.6,118,3,"Tropical; hot, high humidity",,,71.88,42,3,0.767,80,4,"Sharing Hispaniola with Haiti, the DR is a land of superlatives. It has the Caribbean's highest peak, Pico Duarte, and Santo Domingo, the oldest European city in the Americas. It's the only country with a Bible on its flag. Famed for baseball, merengue, and the unique blue gem Larimar, its allure is undeniable. Yet, this paradise has a dark side: a complex relationship with Haitian migrants, systemic corruption, and deep-seated inequality, creating a stark contrast to its natural and cultural riches.",DO,505,18,No,多米尼加
East Timor,"Portuguese, Tetum","Timor-Lester, Timor Lorosa'e","1,360,596",152,1,1.44%,70,3,"2,004",172,1,"1,473",158,1,Asia,Dili,Republic,14919,154,2,United States dollar,28.7,23,5,"Tropical; hot, humid",,,84.49,10,4,0.607,139,3,"East Timor, one of the world's youngest nations, forged its identity through a traumatic 24-year Indonesian occupation that claimed over 100,000 lives. Independence in 2002 followed a UN-backed referendum met with a scorched-earth militia campaign. Today, it boasts stunning marine biodiversity and a unique culture with Portuguese influences. However, this half-island nation faces immense development challenges, with deep-rooted poverty and a heavy reliance on depleting oil and gas revenues, while the scars of its violent past and the quest for justice remain profoundly felt.",TL,581,10,No,东帝汶
Ecuador,Spanish,Ecuador,"18,190,484",67,2,1.05%,89,3,"106,166",63,2,"5,836",100,2,South America,Quito,Republic,276841,73,3,United States dollar,47.3,163,2,"Diverse; equatorial, highland variation",,,60.51,77,2,0.74,94,4,"Ecuador, named for the equator that runs through it, is one of the world's most biodiverse countries, boasting Amazon jungle, Andean highlands, and the wildlife-rich Galápagos Islands. Its culture is a vibrant mix of indigenous and Spanish colonial heritage. However, the nation now faces an unprecedented crisis. Formerly a pocket of peace, it's now a key drug trafficking hub, leading to extreme violence from cartels that has shattered society and prompted a state of ""internal armed conflict,"" threatening its very democracy.",EC,529,7,No,厄瓜多尔
Egypt,Arabic,مصر Misr ,"112,716,599",14,5,1.56%,60,3,"425,906",32,3,"3,779",123,2,Africa,Cairo,Republic,1002450,29,5,Egyptian pound,31.5,43,4,"Desert; hot, dry, sunny",,,33.37,161,1,0.731,96,4,"Egypt, a cradle of ancient civilization with its iconic pyramids, has been shaken by modern turmoil. The hopes of the 2011 revolution were crushed by a 2013 military coup, installing a deeply repressive authoritarian regime under President el-Sisi. This new era is marked by a brutal crackdown on all dissent, with tens of thousands of political prisoners filling its jails. A key player in the Arab world, it also grapples with severe economic instability, leaving its large population caught between a glorious past and an uncertain, oppressive present.",EG,555,5,No,埃及
El Salvador,Spanish,El Salvador,"6,364,943",110,2,0.45%,142,2,"28,737",101,1,"4,515",112,2,North America,San Salvador,Republic,21041,148,2,United States dollar,38.8,111,3,Tropical; wet and dry seasons,,,51.36,111,2,0.675,124,3,"El Salvador, a small nation of volcanoes and Pacific surf spots, has been radically transformed by President Bukele. Once the world's murder capital, his iron-fisted ""war on gangs"" like MS-13 has brought unprecedented safety and immense popularity. But this peace came at a cost: a prolonged state of emergency has suspended civil liberties, leading to the arrest of over 1% of the population and the dismantling of democratic institutions. The country now faces an uncertain future, reliant on remittances and the U.S. dollar under an increasingly authoritarian rule.",SV,568,11,No,萨尔瓦多
Equatorial Guinea,Spanish,Guinea Ecuatorial,"1,714,672",149,1,2.37%,32,4,"12,431",139,1,"7,250",86,2,Africa,"Malabo (de jure),
Oyala (government)",Republic,28051,141,2,Central African CFA franc,-,-,0,"Tropical; hot, humid",,,50.35,116,2,0.596,144,2,"Equatorial Guinea, a small Central African nation, has vast oil wealth that gives it a deceptively high GDP per capita. In reality, it's a brutal kleptocracy. President Teodoro Obiang, the world's longest-serving dictator, and his family have amassed fortunes from oil while most of the population lives in abject poverty. The regime is infamous for torture and kidnapping opponents. The president's son, Teodorín, convicted of embezzlement abroad for his lavish lifestyle, is being groomed to continue this oppressive, dynastic rule.",GQ,534,17,No,赤道几内亚
Eritrea,"Arabic, Tigrinya",Iritriya إرتريا Ertra,"3,748,902",129,2,1.76%,54,3,"2,255",170,1,602,182,1,Africa,Asmara,Republic,124330,97,3,Eritrean nakfa,-,-,0,"Varied; arid desert, highlands",,,27.86,169,1,0.492,175,1,"Eritrea, forged through a 30-year war of independence from Ethiopia where women remarkably constituted 30% of the fighting force, is a nation of stark contrasts. Its capital, Asmara, is a UNESCO World Heritage site celebrated for its futuristic Italian modernist architecture, a legacy of its colonial past earning it the nickname 'New Rome.' However, since its independence, Eritrea has become one of the world's most secretive and authoritarian states. The government enforces indefinite military conscription and has one of the worst human rights and press freedom records, compelling many to flee.",ER,601,7,No,厄立特里亚
Estonia,Estonian,Eesti,"1,322,766",153,1,-0.25%,179,1,"37,191",98,1,"28,116",35,4,Europe,Tallinn,Republic,45227,129,2,European euro,30.6,35,4,"Temperate; wet, moderate winters",Yes,Yes,85.31,8,5,0.89,30,5,"Estonia, a fiercely independent Baltic nation, is a global leader in digital innovation, having pioneered e-residency and online voting, and where filing taxes takes just five minutes. Its path to restoring independence from the Soviet Union was uniquely peaceful, marked by the 'Singing Revolution' and the Baltic Way human chain. Over half of Estonia is covered by forest, and it has some of the world's cleanest air. It's a land of ancient traditions, with a UNESCO-listed smoke sauna culture, and quirky modern ones, like the sport of wife-carrying.",EE,553,7,No,爱沙尼亚
Eswatini,"English, Swazi","Eswatini, eSwatini","1,210,822",156,1,0.76%,111,2,"4,732",157,1,"3,908",119,2,Africa,"Mbabane (administrative), Lobamba (royal)",Absolute monarchy,17364,153,2,Swazi lilangeni,54.6,178,1,Varied; subtropical to temperate,,,52.66,107,2,0.597,143,2,"Eswatini, Africa's last absolute monarchy, boasts rich cultural traditions like the Umhlanga reed dance and stunning wildlife reserves. Formerly Swaziland, it was renamed by King Mswati III in 2018. However, the nation faces profound challenges: it has the world's highest HIV/AIDS prevalence rate, which has led to a very low life expectancy. The monarchy's opulent lifestyle contrasts sharply with widespread poverty and has fueled growing pro-democracy protests demanding political reform in a country where political parties are banned from elections.",SZ,555,8,No,斯威士兰
Ethiopia,Amharic,Ityop'ia ኢትዮጵያ,"126,527,060",11,5,2.55%,24,4,"99,269",64,2,785,177,1,Africa,Addis Ababa,Republic,1104300,26,5,Ethiopian birr,35,68,4,Diverse; tropical with highlands,,,47.7,126,2,0.498,174,1,"Ethiopia, Africa's oldest independent nation, operates on its own 13-month calendar, running seven years behind the rest of the world. It's the birthplace of coffee, and its ancient Christian heritage is profound, with the rock-hewn churches of Lalibela and the claimed resting place of the Ark of the Covenant. This land of ancient wonders, home to archaeological treasures like 'Lucy,' faces modern challenges, including severe ethnic conflicts and political instability that threaten its people and rich heritage.",ET,516,8,No,埃塞俄比亚
Fiji,"English, Fijian, Fiji Hindi","Fiji, Viti, फ़िजी","936,376",158,1,0.71%,117,2,"4,296",159,1,"4,588",111,2,Oceania,Suva,Republic,18272,151,2,Fijian dollar,30.7,38,4,"Tropical; hot, rainy season",,,59.27,86,2,0.73,98,4,"Fiji, a stunning Pacific archipelago, is often seen as a tropical paradise, but its history is marked by deep-seated ethnic tensions and a volatile 'coup culture.' The division between the indigenous iTaukei and the Indo-Fijian communities, descendants of indentured laborers, has fueled four military coups since 1987. While its past includes a fearsome reputation as the 'Cannibal Isles,' modern Fiji's challenges are more political. Today, it grapples with healing these divisions and overcoming a legacy of instability, all while facing the existential threat of climate change to its beautiful islands.",FJ,607,4,No,斐济
Finland,"Finnish, Swedish","Suomi, Finland","5,545,475",116,2,0.09%,160,2,"297,302",44,3,"53,612",16,5,Europe,Helsinki,Republic,338425,65,3,European euro,25.7,11,5,"Boreal; cold winters, warm summers",Yes,Yes,87.94,5,5,0.94,10,5,"Finland, consistently ranked the happiest country, is a land of 188,000 lakes and vast forests, where sauna culture is a national obsession with over 3 million saunas. Finns embody ""sisu"", a unique blend of resilience and stoic determination, forged through harsh winters and a history of fighting for independence from Russia. Despite its high quality of life, top-tier education, and social safety nets, the nation grapples with long, dark winters that contribute to high rates of seasonal depression, a stark contrast to its cheerful global image.",FI,550,7,No,芬兰
France,French,France,"64,756,584",23,4,0.20%,155,2,"2,957,880",7,4,"45,677",24,5,Europe,Paris,Republic,640679,42,4,European euro,29.3,26,5,Varied; Mediterranean to temperate,Yes,Yes,78.72,24,4,0.903,27,5,"France, the world's most visited country, is a cultural powerhouse famed for its cuisine, fashion, and art, with landmarks like the Eiffel Tower. Yet, its national identity is a battleground. The revolutionary motto ""Liberté, Égalité, Fraternité"" clashes with a complex colonial past and fierce contemporary debates on ""laïcité"" (secularism) and immigration. Social unrest and strikes are a common feature of its political life, reflecting deep divisions over economic inequality and the country's role in a globalized world, making it perpetually fascinating and turbulent.",FR,574,6,No,法国
Gabon,French,République gabonaise,"2,436,567",143,2,1.99%,45,3,"18,521",118,1,"7,601",82,2,Africa,Libreville,Provisional,267668,76,3,Central African CFA franc,38,103,3,"Equatorial; hot, humid",,,58.12,90,2,0.706,112,4,"Gabon, often called ""Africa's Last Eden,"" has over 85% of its territory covered by rainforests, housing vast protected parklands and rare wildlife. Its immense oil wealth makes it one of Africa's richest nations per capita, yet this prosperity has been a curse. For over 50 years, the Bongo dynasty ruled, hoarding wealth while the population faced poverty and repression. In 2023, a military coup, celebrated by many citizens, ended the family's reign, plunging the future of this eco-jewel and its kleptocratic state into uncertainty.",GA,536,5,No,加蓬
Gambia,English,The Gambia,"2,773,168",138,2,2.48%,27,4,"2,038",171,1,735,179,1,Africa,Banjul,Provisional,11295,159,2,Gambian dalasi,35.9,83,4,"Tropical; hot, rainy season",,,71.06,45,3,0.5,173,1,"The Gambia, mainland Africa's smallest nation, is a sliver of land defined by its river and entirely enveloped by Senegal, a geographical quirk of colonial history. For 22 years, it was the personal fiefdom of dictator Yahya Jammeh, whose brutal and bizarre rule included fake HIV/AIDS cures and rampant human rights abuses. A stunning 2016 election loss and subsequent regional military pressure forced his exile, ushering in a fragile democracy. Now, ""the smiling coast of Africa"" grapples with the legacy of trauma and deep-seated poverty.",GM,542,6,No,冈比亚
Georgia,Georgian,Sak'art'velo საქართველო,"3,728,282",130,2,-0.43%,185,1,"18,696",117,1,"5,015",107,2,Asia,Tbilisi,Republic,69700,119,2,Georgian lari,34.3,62,4,Diverse; humid subtropical to continental,,,61.69,74,2,0.802,62,4,"Perched between Europe and Asia, Georgia is the birthplace of wine, with an unbroken 8,000-year-old viticultural tradition. Its unique language and alphabet are a cornerstone of a fierce national identity forged through centuries of fighting for its existence against larger empires. While famed for its hospitality and stunning Caucasus mountain scenery, modern Georgia is defined by its volatile relationship with Russia. The nation continues to reel from the 2008 invasion and ongoing occupation of its Abkhazia and South Ossetia regions, fueling its passionate drive for Western integration.",GE,595,7,No,格鲁吉亚
Germany,German,Deutschland,"83,294,633",19,4,-0.09%,172,1,"4,259,935",4,4,"51,143",19,5,Europe,Berlin,Republic,357600,63,3,European euro,29.7,33,5,"Temperate; variable, moderate rainfall",Yes,Yes,81.91,21,4,0.942,8,5,"A dominant force in Europe, Germany is famed for its engineering, particularly its automotive industry, and robust economy. Its cultural landscape is rich with the legacy of thinkers like Kant, composers like Beethoven, and the Bauhaus movement. However, Germany's identity is indelibly shaped by its 20th-century history, having instigated two World Wars and perpetrated the Holocaust. Today, as a pillar of democracy, it grapples with its past while championing renewable energy and navigating the complexities of European integration and a multicultural society.",DE,565,7,No,德国
Ghana,"Akan, English, Ewe, Twi","Gaana, Ghana, Gana","34,121,985",47,3,1.93%,48,3,"79,083",71,2,"2,318",142,2,Africa,Accra,Republic,238533,80,3,Ghanaian cedi,43.5,142,3,"Tropical; hot, humid, rainy",,,65.93,60,3,0.632,132,3,"Ghana, the first sub-Saharan African nation to gain independence, is named from the ancient word for ""warrior king."" It stands as the world's second-largest cocoa producer and boasts a growing oil and gold industry. Beyond its economic strengths, Ghana is renowned for its vibrant culture, expressed through the intricate patterns of Kente cloth and the unique, imaginative designs of its fantasy coffins. This blend of rich history, economic vitality, and artistic tradition makes it a cornerstone of West African identity.",GH,524,5,No,加纳
Greece,Greek,Hellas Ελλάς,"10,341,277",90,2,-0.42%,184,1,"214,874",50,3,"20,778",45,4,Europe,Athens,Republic,131957,95,3,European euro,33.1,52,4,"Mediterranean; hot summers, mild winters",Yes,Yes,55.2,103,2,0.887,32,5,"Officially the Hellenic Republic, Greece is a nation where mountains dominate, with 80% of its landmass being mountainous, despite its thousands of islands. It is one of the world's top olive oil producers, with some trees dating back to the 13th century. As the cradle of democracy and Western philosophy, its cultural legacy is immense. While celebrated for its ancient beauty, modern Greece grapples with the aftermath of a severe economic crisis and the environmental challenges of mass tourism, revealing a complex picture of resilience and struggle.",GR,555,6,No,希腊
Grenada,English,Grenada,"126,184",179,1,0.59%,131,2,"1,115",181,1,"8,836",77,2,North America,Saint George's,Constitutional monarchy,344,185,1,East Caribbean dollar,37,93,3,"Tropical; hot, rainy season",,,-,-,0,0.795,67,4,"Grenada, the ""Isle of Spice,"" is a leading producer of nutmeg and mace. Its history is marked by French and British colonization, a bloody 18th-century slave rebellion, and significant 20th-century political turmoil, including a Marxist coup in 1979 and a controversial US-led invasion in 1983. Devastated by Hurricane Ivan in 2004, the island has rebuilt and now features the world's first underwater sculpture park, a symbol of its resilience and creativity. Its economy remains heavily reliant on tourism and agriculture.",GD,524,7,No,格林纳达
Guatemala,Spanish,Guatemala,"18,092,026",69,2,1.39%,72,3,"85,986",67,2,"4,753",109,2,North America,Guatemala City,Republic,108889,105,3,Guatemalan quetzal,48.3,165,2,"Tropical; hot, humid lowlands",,,48.12,123,2,0.627,134,3,"Guatemala, the ""Land of Eternal Spring,"" is a country of dramatic contrasts. It is the heartland of the ancient Maya civilization, home to the iconic Tikal ruins and the birthplace of chocolate. Its vibrant culture is visible in its colorful ""chicken buses"" and the giant kites of the All Saints' Day festival. However, Guatemala also bears the scars of a 36-year civil war, the longest in Latin American history, which stemmed from deep-seated inequality and resulted in the loss of 200,000 lives, a struggle for justice championed by Nobel laureate Rigoberta Menchú.",GT,568,9,No,危地马拉
Guinea,"French, Manika, Pular","Guinée, Gine","14,190,612",74,2,2.39%,30,4,"16,036",126,1,"1,130",164,1,Africa,Conakry,Provisional,245857,77,3,Guinean franc,29.6,32,5,"Tropical; hot, humid, rainy",,,59.51,82,2,0.465,181,1,"Guinea, the source of West Africa's major rivers like the Niger and Senegal, possesses the world's largest bauxite reserves. Despite this immense mineral wealth, it remains one of the world's least developed nations. A pioneer of African independence, Guinea was the first to break from French colonial rule in 1958, a bold move that led to immediate isolation. The nation has since been plagued by political instability and authoritarian rule, including a recent 2021 military coup, and was severely impacted by the 2014-2016 Ebola crisis, which further highlighted its development challenges.",GN,594,6,No,几内亚
Guinea-Bissau,Portuguese,"República da Guiné-Bissau, 𞤘𞤭𞤲𞤫 𞤄𞤭𞤧𞤢𞥄𞤱𞤮 (Gine-Bisaawo)","2,150,842",145,2,2.15%,42,4,"1,563",177,1,727,180,1,Africa,Bissau,Republic,36125,134,2,West African CFA franc,34.8,66,4,"Tropical; hot, humid",,,61.57,75,2,0.483,176,1,"Guinea-Bissau is a nation of contrasts, from the unique matriarchal societies of the Bijagós archipelago, a UNESCO Biosphere Reserve, to the mainland's crippling political instability. Since its hard-won independence from Portugal in 1974, the country has been plagued by coups, a civil war, and political assassinations, transforming it into what the UN has described as a 'narco-state'—a major hub for cocaine trafficking to Europe. Despite this turmoil, its economy is overwhelmingly dependent on a single crop: cashews, which support the vast majority of its impoverished population.",GW,587,13,No,几内亚比绍
Guyana,English,Guyana,"813,834",160,1,0.63%,128,2,"8,044",151,1,"9,884",71,2,South America,Georgetown,Republic,214969,83,3,Guyanese dollar,44.6,149,2,"Tropical; hot, wet",,,67.5,58,3,0.714,107,4,"Guyana, South America's only English-speaking nation, is a land of contrasts. Over 80% of its territory is pristine rainforest, home to Kaieteur Falls, the world's largest single-drop waterfall. Historically defined by sugar plantations and deep ethnic tensions, its future is being radically reshaped by massive offshore oil discoveries. This boom promises immense wealth but also brings challenges of equitable development, the shadow of the 1978 Jonestown massacre, and a tense border dispute with Venezuela.",GY,511,6,No,圭也那
Haiti,"French, Haitian Creole","Haïti, Ayiti","11,724,764",80,2,1.21%,79,3,"19,044",116,1,"1,624",153,1,North America,Port-au-Prince,Republic,27750,143,2,Haitian gourde,41.1,128,3,"Tropical; hot, humid",,,57.38,95,2,0.535,163,2,"Haiti, a nation forged in revolution, became the world's first Black-led republic in 1804 after history's only successful slave revolt. This triumph was met with international isolation and a crippling ""independence debt"" to France that took over a century to repay, starving the nation of capital. Today, its vibrant culture, where Vodou is an official religion, endures amidst unimaginable hardship. As the Western Hemisphere's poorest country, it grapples constantly with devastating natural disasters, extreme gang violence, and profound political instability.",HT,564,5,No,海地
Honduras,Spanish,Honduras,"10,593,798",87,2,1.54%,63,3,"28,489",102,1,"2,689",136,2,North America,Tegucigalpa,Republic,112492,101,3,Honduran lempira,48.2,164,2,Tropical; wet and dry seasons,,,32.65,164,1,0.621,136,3,"Honduras, a land of deep Caribbean waters and stunning Mayan ruins at Copán, is also the original 'Banana Republic'—a term coined to describe its historic economic domination by US fruit companies. This legacy, combined with modern-day gang violence and drug trafficking, has entrenched deep poverty and one of the world's highest murder rates. Its history is also marked by the bizarre 1969 'Football War' with El Salvador, a brief but bloody conflict ignited by soccer riots that exposed deep-seated political tensions still palpable in the region.",HN,550,8,No,洪都拉斯
Hungary,Hungarian,Magyarország,"10,156,239",93,2,1.90%,51,3,"181,848",54,2,"17,905",49,3,Europe,Budapest,Republic,93028,108,2,Hungarian forint,28.3,22,5,"Continental; hot summers, cold winters",Yes,Yes,62.96,70,2,0.846,45,4,"Hungary, a land of thermal baths and rich paprika-spiced goulash, boasts a storied history from the Magyar tribes to the Austro-Hungarian Empire and Soviet rule. Its capital, Budapest, is graced by the magnificent Parliament Building along the Danube. Renowned for its contributions to science, from the Rubik's Cube to Vitamin C, Hungary's recent years have been marked by political controversy, with its government facing accusations of eroding democratic freedoms and media independence, sparking significant debate within the European Union.",HU,545,7,No,匈牙利
Iceland,Icelandic,Ísland,"375,319",172,1,0.65%,124,2,"25,602",107,1,"68,214",8,5,Europe,Reykjavik,Republic,103000,106,3,Icelandic krona,23.2,1,5,"Subarctic; cool summers, mild winters",,,83.19,18,4,0.959,3,5,"Iceland, the land of fire and ice, is a dramatic spectacle of volcanic landscapes, bubbling geysers, vast glaciers, and the ethereal Northern Lights. Settled by Vikings, its ancient sagas are treasures of world literature. Modern Iceland is a beacon of progress, consistently topping charts for gender equality and peace. Yet, this sparsely populated island nation grapples with its remote location and the environmental strain from a massive tourism boom, while still remembering its near-total financial collapse in 2008, a stark modern-day saga of boom and bust.",IS,565,7,No,冰岛
India,"English, Hindi, Bengali, and 11 more!","Bharôt ভাৰত, Bhārat ભારત,  Bhārata ಭಾರತ... and 9 more!","1,428,627,663",1,5,0.81%,107,2,"3,201,471",5,4,"2,241",143,2,Asia,New Delhi,Republic,3287263,7,5,Indian rupee,35.7,78,4,Diverse; tropical to alpine climate,,,36.62,156,1,0.633,131,3,"India, a vibrant mosaic of cultures, languages, and religions, is home to ancient civilizations and architectural wonders like the Taj Mahal. As the world's largest democracy, it has a booming tech sector and the spectacle of Bollywood. Its spiritual heritage gave the world yoga and multiple religions. However, this nation of over a billion people grapples with extreme poverty and wealth disparity, severe pollution, and complex regional relationships, including ongoing tensions with neighboring Bangladesh over illegal immigration and the sharing of vital river waters.",IN,574,5,No,印度
Indonesia,Bahasa Indonesia,Indonesia,"277,534,123",4,5,0.74%,113,2,"1,186,093",16,4,"4,274",116,2,Asia,Jakarta,Republic,1904569,14,5,Indonesian rupiah,37.9,102,3,"Tropical; hot, humid year-round",,,54.83,104,2,0.705,113,4,"Indonesia, the world's largest island country, is a kaleidoscope of cultures spread across 17,000 islands, from Bali's idyllic beaches to Borneo's jungles, home to orangutans. Its location on the ""Ring of Fire"" brings both stunning volcanoes and devastating earthquakes and tsunamis. After centuries of Dutch colonial rule and the authoritarian Suharto era, it is now a vibrant, emerging democracy. However, it faces immense challenges from rampant deforestation for palm oil, threatening its unique biodiversity, and struggles with corruption and religious tensions.",ID,567,9,No,印度尼西亚
Iran,Persian,Īrān ایران,"89,172,767",17,4,0.70%,118,2,"594,892",23,3,"6,671",91,2,Asia,Tehran,Republic,1648195,17,5,Iranian rial,40.9,127,3,"Diverse; arid, semi-arid",,,24.81,172,1,0.774,75,4,"Iran, heir to the ancient Persian Empire, boasts a rich legacy of poetry from masters like Hafez, stunning turquoise-domed mosques, and intricate bazaar craftsmanship. This cradle of civilization gave the world foundational concepts in science and art. The 1979 Islamic Revolution transformed it into a powerful theocracy, often at odds with the West. Today, its vast oil wealth is crippled by international sanctions, while the nation is shaken by large-scale pro-democracy protests and its government's controversial nuclear ambitions and regional influence.",IR,560,4,No,伊朗
Iraq,"Arabic, Kurdish",Al-'Iraq العراق,"45,504,560",35,3,2.27%,37,4,"204,004",51,3,"4,483",113,2,Asia,Baghdad,Republic,438317,58,3,Iraqi dinar,29.5,30,5,"Desert; hot, dry, arid",,,32.94,162,1,0.686,120,3,"Iraq, birthplace of writing and the Code of Hammurabi, houses the ancient ruins of Babylon and Ur, where civilization began 6,000 years ago. Once the center of the Islamic Golden Age in Baghdad, its House of Wisdom preserved ancient Greek texts. The country has witnessed dramatic upheavals: Saddam Hussein's brutal dictatorship, the use of chemical weapons against the Kurds, the Gulf War, and the 2003 U.S. invasion. Despite challenges, it remains one of the world's largest oil producers, with its diverse population including Arabs, Kurds, and Assyrians.",IQ,558,4,No,伊拉克
